Price,Close,High,Low,Open,Volume
Ticker,LIN.DE,LIN.DE,LIN.DE,LIN.DE,LIN.DE
Date,,,,,
2024-08-14,403.6322937011719,405.4077902305867,401.6595064007797,403.82955436980393,11153
2024-08-15,408.9587707519531,408.9587707519531,404.02680301520104,405.4077479610232,12438
2024-08-16,408.761474609375,412.11520660565725,405.4077426130927,409.55060749825077,20909
2024-08-19,408.9587707519531,411.32610924512574,407.577825806131,409.3533221504249,12734
2024-08-20,407.38055419921875,410.73428639733925,406.591451365194,409.35334138662415,11492
2024-08-21,407.97235107421875,409.1560051938216,405.6050127326728,405.99956410587373,10770
2024-08-22,409.3533020019531,411.52337974024914,406.9859636253015,409.3533020019531,10427
2024-08-23,411.1288146972656,413.8907346657412,407.57782204147713,411.5233961944349,20897
2024-08-26,413.49615478515625,415.0743602557433,408.95873880136907,409.94513227165584,8770
2024-08-27,414.87713623046875,418.03357755249647,411.72066480609857,413.49619127068524,13159
2024-08-28,419.61181640625,421.78189428954437,415.8635329012973,417.04718711754106,9260
2024-08-29,421.5846252441406,422.17646743390935,418.2308929719102,420.20368020290977,11528
2024-08-30,422.1764221191406,425.92470541477604,420.795477226135,421.97913137627944,10176
2024-09-02,423.95196533203125,426.5165947614571,420.7955238131831,426.5165947614571,8947
2024-09-03,426.12200927734375,427.50295421286677,422.1764351173683,423.3601194062977,15646
2024-09-04,422.74755859375,427.4975189466864,421.36212580792477,421.36212580792477,21779
2024-09-05,413.4455261230469,422.15382747919574,413.4455261230469,422.15382747919574,19326
2024-09-06,409.289306640625,416.4142473321489,409.09137903828594,414.6330197091459,14315
2024-09-09,415.0288391113281,415.62259171081735,409.48719851528153,409.48719851528153,11684
2024-09-10,416.4142150878906,417.40379262393554,413.8413376537817,414.2371626282977,33436
2024-09-11,410.6747131347656,417.9975814977481,408.10180527763333,416.41425126262726,19830
2024-09-12,415.4246520996094,419.38296238240514,415.4246520996094,417.6017348349514,20857
2024-09-13,419.97674560546875,419.97674560546875,415.4246824082412,417.20594028516314,13781
2024-09-16,419.18505859375,422.35168865197653,417.60172846488155,418.59130602048555,18599
2024-09-17,421.56005859375,424.7267190010195,421.36213099347873,423.34128619814425,10637
2024-09-18,415.4246520996094,420.57046754704817,415.2267547051761,419.77881757029337,10455
2024-09-19,418.98712158203125,420.9662766487385,416.0183889819703,417.20589410179855,13022
2024-09-20,416.2163391113281,417.20591669827877,413.84135894254894,416.2163391113281,21023
2024-09-23,425.1225280761719,425.5183530623743,417.6017325402836,417.6017325402836,21705
