Price,Close,High,Low,Open,Volume
Ticker,FME.DE,FME.DE,FME.DE,FME.DE,FME.DE
Date,,,,,
2024-06-28,34.778778076171875,35.33314123307252,34.7204267933591,34.8176814047308,674318
2024-07-01,34.89548873901367,35.30396256673219,34.65234849584055,34.96356771030009,189660
2024-07-02,34.71070098876953,34.788507650107285,34.23414817316612,34.71070098876953,243990
2024-07-03,34.632896423339844,35.14835254558853,34.43838348908683,34.85658499922183,486319
2024-07-04,34.866310119628906,35.148353698042214,34.65234922395826,34.68152486654386,139502
2024-07-05,35.16780471801758,35.459572268598876,34.62316923624698,34.88576114477785,204077
2024-07-08,34.90521240234375,35.401220571569525,34.86630907337984,35.14835264332974,205306
2024-07-09,34.778778076171875,35.1678039417099,34.487010532031164,34.89548806184865,255309
2024-07-10,35.22616195678711,35.430398884205616,34.8371360578725,34.8371360578725,221300
2024-07-11,35.44984817504883,35.7221640600286,34.93438833701838,35.34286587451372,217630
2024-07-12,35.809696197509766,35.97503349891313,35.479025304728886,35.624910940671505,274637
2024-07-15,34.92466354370117,35.751338866660774,34.73987829892889,35.4790229880436,329012
2024-07-16,35.060821533203125,35.12890050295488,34.389755812782,34.67179937891104,252421
2024-07-17,35.30396270751953,35.61518192322017,34.778778889765064,35.0900018154914,296141
2024-07-18,35.741615295410156,36.043110528749374,35.1289008515388,35.547102361321166,407813
2024-07-19,35.29423904418945,35.56655493284397,35.08027444023191,35.488751983239425,327049
2024-07-22,34.89548873901367,35.50819948059145,34.89548873901367,35.46929986130327,392806
2024-07-23,35.51792907714844,35.6249113834994,35.00247292112203,35.148354848852165,259525
2024-07-24,36.3154296875,36.3154296875,35.26506197465146,35.31369299508132,284386
2024-07-25,36.714176177978516,36.86978578291462,35.780518548361904,36.39322928090839,280982
2024-07-26,36.15981674194336,36.626645556925006,36.033382778502826,36.53911492223934,310317
2024-07-29,36.412681579589844,36.860062447846964,36.02365941548561,36.295975301361146,362787
2024-07-30,34.7690544128418,35.08027362407078,33.12542772166214,34.7690544128418,867170
2024-07-31,34.89548873901367,35.81942240507667,34.642620808499245,35.03164668158651,669574
2024-08-01,33.54362869262695,34.78850551751143,33.475546013117096,34.525913616632565,485295
